GSE75688	B-naive	B-memory	Plasma_cells	CD8	CD4-naive	CD4-memory_resting	CD4-memory_activated	Tfh	Treg	gdT	NK_rest	NK_activated	Monocyte	M0	M1	M2	DC_resting	DC_activated	MC_resting	MC_activated	Eosinophil	Neutrophil
CFLAR	2.97461653876437	7.97113458907556e-05	0.00318797830940905	0	0.264813368443217	0	0	0	1.12375857350797	0	0	0	0	0	0	0.00163956039523887	0	0	0.841363585970971	0	0	0	0
TFPI	0.438216030488568	0.2243394046855	0	0.0169888031460884	1.51779022967183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDUFAF7	2.11786046710607	0.246098031775715	0	0	0.0996627780954827	0	0	0.00116256824177141	0	0	0	0	0	0	0	0.000747192188360959	0	0	0.419122713729605	0	0	0	0
RBM5	3.57490921099269	0	0.00775919313519133	0.0402203640672265	0.282206339894987	0	0	0	0	0	0	0	0.14999225919615	0	0	0	0	0	0	0	0.871785074232473	0	0
MTMR7	0	0	0	0.0119012607646951	0	0	0	0	0	0	0.0707205404002938	0	0.124651428685918	0	0	0	0	0	0	0	0	0	0
SLC7A2	0.870264345198149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARF5	4.12735746269677	0.0870391948836635	0.00732632278915855	0	0.297870489756467	0	0	0	0.638590342695047	0	0	0	0	0	0	0.00328524568527293	0	0	0.515636610505532	0	0	0	0
SARM1	1.12818360209142	0	0	0.00478572019805509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POLDIP2	2.69319596845139	0	0	0.0120194779033549	0	0	0	0	0	0	0.187838214247176	0	0	0	0	0	0	0	0	0	0.31053169434999	0	0
PLXND1	0.214613028354689	0	0.00432922188690014	0.0164029764083213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.524537076559638	0	0
AK2	4.39415541268063	0.155920873315483	0.0135825184732427	0	0	0	0	0	0.588331654353787	0	0.00894190028134299	0	0	0	0	0.00366831595490478	0	0	0.427207015470848	0	0	0	0
CD38	0	0	0.014853126784248	0	0.176223424987015	0	0	0.194074485560152	0	0	0	0	0	0	0	0.00360185437691036	0	0	0	0	0	0	0
FKBP4	3.33013307850625	0	0.002165315463303	0	0.539126186515068	0	0	0	0.849099027697784	0	0	0	0.00662183237721301	0	0	0.000226190260740712	0	0	0.0341072881753728	0	0	0	0
KDM1A	1.55711026883818	0.159706883273494	0.00864076664605096	0	0	0	0	0	0	0	0	0	0	0	0	0.00384569140321543	0	0	0	0	0	0	0
RBM6	3.99193995937079	0	0	0.00454950274594093	0	0	0	0	0	0	0.312230260218585	0	0.0996382936138032	0	0	0	0	0	0	0	0.444988748019884	0	0
CAMKK1	0	0	0	0	0.243635158449365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RECQL	2.41100231658287	0.128969193653705	0.00273549063503901	0	0	0	0	0.465777462678128	0.485351592955751	0	0	0	0	0	0	0.00115656489672719	0	0	0.462882390578874	0	0.782592698858065	0	0
CCDC132	2.30092005058636	0	0.0101406354343986	0.0113797432062675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.458361827983551	0	0
HSPB6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGAP33	0	0	0.00188385788533335	0	0	0	0	0	0	0	0	0	0.00107473768037799	0	0	0	0	0	0	0	0	0	0
NDUFAB1	4.40161387402625	0	0.00702682787021257	0.0444801003165166	1.09871462544418	0	0	0.151045372515146	0	0	0	0	0.0710383692143409	0	0	0	0	0	0	0	0.567716777690664	0	0
PDK4	1.40235043931851	0	0.00120777167218262	0	0	0	0	0	0	0	0	0	0.0347442318510563	0	0	0	0	0	0	0	0	0	0
SLC22A16	0.179614836766757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.109463018858274	0	0
ZMYND10	0.558864543435551	0	0.00387715192344463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARX	2.41656762257647e-18	0	2.06327583169002e-19	0	0	0	0	0	4.46240202019851e-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC25A13	1.96293622093165	0	0.00788603763715758	0.0217215927713188	0.365352283859429	0	0	0	0	0	0	0	0.079017015762185	0	0	0	0	0	0	0	0.646688051840738	0	0
ST7	2.80426417276222	0.0169865097687156	0.00214218604879356	0	0.0197943140216072	0	0	0	0	0	0	0	0	0.312858501038436	0	0	0	0	0.109952419468773	0	0	0	0
CDC27	1.8124803134657	0	0.0171182308286037	0	0	0	0	0	0.346995415774762	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC4A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CALCR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCCS	2.5688654526242	0.275737516491485	0.00265894356807252	0	0.58764188262151	0	0	0.42804555329346	0	0	0	0	0	0	0	0	0	0	0.11474905813588	0	0	0	0
DVL2	0.114037958561289	0	0.00327591990580518	0.0211537859873236	0	0	0	0	0	0	0	0	0.0946390552667804	0	0	0	0	0	0	0	0	0	0
PRSS22	0.196367643737625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPF1	0.97265013759193	0	0.00295528363491616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SKAP2	2.9743669980544	0.202802374366957	0.00657344057244562	0	0.438510014618784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC25A5	5.58075063248446	0.550605126178195	0.00922192354474441	0	1.23521370742787	0	0	0.832559482476409	0.0257464100261572	0	0	0	0	0	0	0.00072479436195531	0	0	0	0	1.59263778741511	0	0
CCDC109B	0.575757353708951	0	0.00364695257876971	0.0127072080450951	0	0	0	0.128227912452371	0.000511746668637507	0	0	0	0	0	0	0	0	0	0.365386782945757	0	0	0	0
HOXA11	0.308059430936705	0	0.0117735513227186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00431128562031537	0	0
POLR2J	4.19074986903154	0	0.0102083928322168	0.0221510819381799	0.051061388002243	0	0	0	0	0	0	0	0	0.113975062362814	0	0.00101749137894985	0	0	0.341307505572032	0	0.445005320154407	0	0
DHX33	0.957354020741086	0	0	0.0128412040287392	0.694540535626553	0	0	0	0	0	0	0	0.0746656481837901	0	0	0	0	0	0	0	0.136140207783862	0	0
MEOX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000179666213420843	0	0	0	0	0	0	0
THSD7A	0.585595183294072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0255918517242598	0	0
LIG3	2.50502126599037	0	0	0	0	0	0	0	0.827441416039054	0	0.0973185307267675	0	0.101782719349779	0	0	0	0	0	0.0496478067125522	0	0	0	0
RPAP3	2.3906127210317	0.256943213721144	0	0	0.616066806366621	0	0	0.437015801347132	0.42255848881959	0	0	0	0	0	0	0	0	0	0.0831466773239163	0	0	0	0
ACSM3	0.11534626510897	0	0	0.0154284049525756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.606241388501821	0	0
CIAPIN1	3.88089309905818	0	0.00687115318693811	0.0465156832456768	0.952025130303136	0	0	0	0	0	0	0	0.0794256961491872	0	0	0	0	0	0	0	0.722077984812832	0	0
SPPL2B	0.52823245048806	0	0.00526180073950347	0	0	0	0	0	0.0436715917152957	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM214B	0.848347889315571	0	0.00320471307777047	0.0254948981459726	0	0	0	0	0	0	0	0	0.0771455056899931	0	0	0	0	0	0	0	0.216400646164169	0	0
COPZ2	0.233003370890995	0	0	0	0	0	0	0	0	0	0.0473462451597849	0	0	0	0	0	0	0	0	0	0.978865569429622	0	0
PRKAR2B	1.01117981168933	0	0.0107369847006628	0.0235754988510957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.635759899175876	0	0
MSL3	2.30121456931243	0.39669472273497	0.0099743028078912	0.0213978716541987	0.605245265834315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.530109766055787	0	0
CREBBP	1.70121016313937	0	0.008724875442395	0	0.484919576295796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BZRAP1	0.00220559938683123	0	0.00168042414614818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MPO	0	0	0	0	0.062496195983944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PON1	0	0	7.21103680176863e-05	0.0359641432383795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCFC2	1.73578473397045	0	0	0	0.981736582843239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDR54	2.41683830401788	0	0.00600049033907722	0.0121834650563383	0	0	0	0	0.73761348034441	0	0	0	0.142218879951252	0	0	0	0	0	0	0	0	0	0
CROT	1.68870379374007	0	0.0165220487778761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	0	0	0.0118988451936374	0.0362806352753865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KMT2E	4.08786049347895	0.208295630128452	0.0163876829133463	0	0.0161111468770705	0	0	0.649030877282033	0.410867530905528	0	0	0	0	0	0	0.00407731552943109	0	0	0	0	0.375280582030362	0	0
RHBDD2	3.56548572992285	0	0.017327012259676	0	0	0	0	0.132701711711032	0.519374543998302	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOX8	0.0688040359384419	0	0	0.012435825675897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IBTK	2.46060810489686	0	0.0122432939072145	0.0192317037925227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.876336264380903	0	0
ZNF195	3.18879850180555	0	0.0148976663169072	0.0362967717281206	0.33889740205163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6644214146922	0	0
MYCBP2	1.73568133814118	0	0.0020223314825089	0.0492243743118675	0.780870326550439	0	0	0	0	0	0	0	0.107388817921616	0	0	0	0	0	0	0	0.344638052654903	0	0
FBXL3	2.2942458850224	0.00744202213971203	0.00507959969677738	0	0.271499007539856	0	0	0	0.394090330497314	0	0	0	0	0	0	0.0025989270438395	0	0	0.218935354456672	0	0	0	0
ITGAL	0.990536952043422	0.0859765484695365	0.0165822455302101	0.0548078771401462	0.221217812407553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDK2	1.77108984167647	0	0.00258328103398295	0	0	0	0	0	0.620482786128245	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGA3	0.343127895248124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZFX	2.95333625215901	0.0911002304055124	0.00489792243406447	0	0	0	0	0.997277400918532	0.529431521437596	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAMP2	4.27028969263222	0	0.0132712054314318	0.0541406249406963	1.57538594643041	0	0	0	0	0	0	0	0.0175314060127487	0	0	0	0	0	0	0	1.39647458262105	0	0
GGNBP2	3.26294665268934	0.0258551633538107	0.00311675584165117	0	0	0	0	0	0.996694962278834	0	0.0426569970609799	0	0	0	0	0.00356710227495192	0	0	0.18998449342665	0	0	0	0
ITGA2B	0.0345526994912709	0	0	0	0	0	0	0	0	0	0.0869259024346516	0	0.0201152311390389	0	0	0	0	0	0	0	0	0	0
ASB4	0	0	0	0	0	0	0	0	0	0	0.0884738211683204	0	0	0	0	0	0	0	0	0	0.0623124264727203	0	0.0403431427179874
GDE1	3.69939394017455	0.116605097345177	0.00397660136362974	0	0.707869331587209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C19orf60	1.09996894241152	0	0.0080846185408683	0.0197345487259881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.372023793396264	0	0
CRLF1	0	0	0	0	0.156983560993668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OSBPL7	0.0382112503320878	0	0.00692455470041567	0	0	0	0	0	0	0	0	0	0.00424111671537132	0	0	0	0	0	0	0	0	0	0
TMEM98	1.96518222168107	0	0	0	0	0	0	0	0	0	0	0	0.65646665941504	0	0	0	0	0	0	0	0.691622796859659	0	0
YBX2	0.0724539495745699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRT33A	0.174300132698315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP3K14	1.19653190770017	0	0.00636575285836741	0	0	0	0	0	0.249958867590953	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	0.708123820023341	0	0.0171826585799932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL18	0.308722834309272	0.0658362500766819	0.0108252751718777	0.0495463470420287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL3	2.25671800390303	0	0.0159825043156984	0.0571093767014497	0	0	0	0	0	0	0	0	0.271772700827079	0	0	0	0	0	0	0	0.344340845899004	0	0
SYNRG	0.892069202982087	0	0	0.0230991839518953	0.0928253287235493	0	0	0	0.409571459531805	0	0	0	0	0	0	8.61060599498879e-05	0	0	0.388733585739073	0	0	0	0
CACNG3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM132A	0.345816094175437	0	0.00139163078120077	0	0	0	0	0	0	0	0	0	0.00705934195821279	0	0	0	0	0	0	0	0.305528743165186	0	0
AP2B1	3.02722875287912	0.00348576500888378	0.00226704124211853	0	0	0	0	0	0.949821723424912	0	0.0162156423185948	0	0	0	0	0.00176829285164883	0	0	0.317993714338959	0	0	0	0
TAC1	0	0	0	0	0	0	0	0	0	0	0.00283410042677884	0	0	0	0	0.00178082215118921	0	0	0	0	0.00282705386703873	0	0.00107787091804551
ZNF263	1.74042154016947	0	0	0.0117543207155378	0	0	0	0	0	0	0.0552611474482609	0	0	0	0	0	0	0	0	0	0	0	0
CX3CL1	1.72018656365958	0	0.00673161748706171	0	0.854312259758628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPATA20	1.68678956071599	0	0.00568250946425478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1G	0	0	0	0	0	0	0	0	0	0	0.00128829157957613	0	0	0	0	0.000769482165662305	0	0	0	0	0.00128078065778214	0	0.000489227289102559
TNFRSF12A	2.96115571503305	0	0.0106644105913673	0	0.206258564826154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DLX6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP3K9	0.402871271552351	0.144597123078682	0	0.00507715211630519	0.251100419228538	0	0	0.257732963249923	0	0	0	0	0	0	0	0.000312292183089692	0	0	0	0	0	0	0
RALA	2.5768856610476	0	0.00393282769393197	0.0337795987533212	1.020587628727	0	0	0	0	0	0	0	0.0181984948883245	0	0	0	0	0	0	0	0	0	0
BAIAP2L1	1.60967513817377	0	0.000621263310795085	0.0104987018888723	0	0	0	0	0	0	0	0	0.174852095191523	0	0	0	0	0	0	0	0.285384845638358	0	0
KDM7A	0.831200223719694	0.0880239146478284	0.0018585448767437	0.00715614831312663	0.557990010473451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETV1	0	0	0.00405283253248004	0	0	0	0	0	0	0	0	0	0.259519097841558	0.0544028957923884	0	0	0	0	0	0	0	0	0
AGK	2.57781901928	0.0791108824110943	0.00730057169708997	0.0235836184583458	0.430693359092001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.935383737449942	0	0
ALDH3B1	0.188029409877707	0	0	0	0.185566260890499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTC22	0.0615208384720052	0	0	0	0	0	0	0	0	0	0	0	0.220068676482593	0	0	0	0	0	0	0	0.522711256745406	0	0
PHTF2	2.25807782825634	0	0.00568328485297949	0.0476314487585072	0.680120375828172	0	0	0	0	0	0	0	0.0966461047063959	0	0	0	0	0	0	0	0.187932682834559	0	0
CCL26	0	0	0	0	0.261889871447526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FARP2	2.47104345837009	0	0.00500732864561996	0.0280639930890703	0.070633648418446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.334584791504073	0	0
USH1C	0.158858824718918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGCT	4.85742467998022	0	0.0104788184480328	0.0525018906801888	1.43560770851573	0	0	0	0	0	0	0	0.135690237008999	0	0	0	0	0	0	0	0.570234795908161	0	0
DBF4	2.29208744046017	0.0263544005547035	0.0153709414566198	0.0486042365569955	0.582009542782586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBXA2R	0	0	1.89958478828944e-05	0.0160653431475898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFRD1	4.79654992526904	0.0550268179579244	0.00405948672004704	0	0	0	0	0	0.555348752186898	0	0.0888074275266494	0	0	0	0	0.00143970673890581	0.0660220535469792	0	0.233476415999384	0	0	0	0
LGALS14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX10	1.85049835369194	0	0.0122757154359046	0.0435854294434972	0.0640266945243228	0	0	0	0	0	0	0	0.0227704827192561	0	0	0	0	0	0	0	0.70474498841982	0	0
GTF2IRD1	0.914748225254878	0	0	0	0	0	0	0	0.48133505325496	0	0.00852677050025914	0	0.00726481662500879	0	0	0	0	0	0	0	0	0	0
PAF1	2.00081109168037	0	0.0135995080234329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VPS41	3.19296186433052	0	0.00499612671549107	0.0166518355669193	0.748142533653654	0	0	0	0	0	0	0	0.145926375357185	0	0	0	0	0	0	0	0.0979480420091504	0	0
ARHGAP44	0.308607455611748	0	0	0	0.00392150072457025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELAC2	1.63198188567774	0	0	0.0247978185068004	0	0	0	0	0	0	0.177621106811322	0	0.0105434300146909	0	0	0	0	0	0	0	0.041754113772844	0	0
SCIN	0.341622711573216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARSD	2.46450896302071	0	0.0106150530458412	0	0	0	0	0	0	0	0	0	0.0558402932009564	0	0	0	0	0	0	0	0.681345758518732	0	0
PNPLA4	2.43708123051889	0	0.0125470056094214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYH13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADIPOR2	1.68439372177231	0	0	0.0140040185547379	0	0	0	0	0.272987924665354	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKL3	0.692983653416104	0	0.0024171524059776	0.0089640067246339	0	0	0	0	0.347114284867011	0	0	0	0.0131001795786415	0	0	0	0	0	0.202913411579593	0	0	0	0
UPP2	0	0	5.20598861292908e-05	0.0306501911894028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRSS21	2.2260297674699	0	5.79647899269822e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MARK4	0	0	0.00317361366378471	0	0.175594894709277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROM1	1.05671890923961	0	0.00181678798661412	0	0	0	0	0	0	0	0	0	0.173097205034422	0	0	0	0	0	0	0	1.89192947855137	0	0
CCDC124	2.00418763771945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAM21	0	0	0	0.0331538572938386	0	0	0	0	0	0	0.0141006708173817	0	0	0	0	0.000965655199331508	0	0	0	0	0	0	0.0199243834908932
PAFAH1B1	2.14792912212905	0	0.0051157845477	0.0656258720677788	0.580696355911025	0	0	0	0	0	0	0	0.190877512223685	0	0	0	0	0	0	0	0.559019765228646	0	0
NOS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000221782804646417	0	0	0	0	0	0	0
DNAH9	0.324944808686453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA0100	1.35133017687354	0	0.0121414454477042	0.0388760319896951	0	0	0	0	0	0	0	0	0.0644872399035203	0	0	0	0	0	0	0	0.913265092324872	0	0
SLC13A2	0.70787647475311	0	0	0	0	0	0	0	0	0	0	0	0.100662998976914	0	0	0	0	0	0	0	0.336076682719275	0	0
GAS7	0.125837200330186	0	0.000316623080334241	0	0.271886384893329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRAPPC6A	3.60401969417576	0.0129689050726679	0.00336736745508769	0	0	0	0	0	0.801096798400467	0	0.0263508572235574	0	0	0	0	0.000678151955453678	0	0	0.3766345145536	0	0	0	0
MATK	0	0	0	0	0	0	0	0	0	0	0.0139335306527241	0	0.00264107224177742	0	0	0	0	0	0	0	0	0	0
CEACAM7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000168589793098253	0	0	0	0	0	0	0
CD79B	0	0	0.0285484357385556	0	0	0	0	0	0.411250054720308	0	0	0	0	0	0	0.00839018301073187	0	0	0	0	0	0	0
