BC01_Pooled	BC02_Pooled	BC03_Pooled	BC03LN_Pooled	BC04_Pooled	BC05_Pooled	BC06_Pooled	BC07LN_Pooled	BC08_Pooled	BC09_Pooled	BC10_Pooled	BC11_Pooled	BC07_Tumor
KRIT1	3.60758070062711	3.77553684318696	4.8681244799625	4.22205548892255	4.58805727411529	3.52539431739675	3.82288699672059	3.11545587561947	4.7636158614446	4.2877052770333	5.22117810451057	2.13699899671528	5.38932853138143
RAD52	3.00463967413296	2.94888832284369	0	2.63709298820139	2.89768724177851	2.59040855520091	2.03913839390696	3.30001105362976	5.47941962291124	1.77496947525997	4.01788765557164	2.74920418815266	3.36392582212254
MYH16	0	0	0	0	0.48463391973567	1.4541758931858	0	0	0	0	1.2896075014327	0	0
BAD	4.44324960555514	3.78022932782924	3.90785207184596	2.44839272729061	1.96262020560673	5.10204433541917	2.12407357919371	2.86622324482152	3.0244151573279	1.96546463681381	1.03128660457469	3.2556750313232	2.33716214229446
LAP3	6.58077167932119	6.03096417480223	6.75815144982024	6.89252180042237	6.70142643160993	5.93621208861074	7.18545489776685	6.11249163574186	6.21812541084834	9.62497255764615	7.2432765324079	7.34635007184008	7.54314487503672
CD99	4.65952941375778	7.05228378909766	6.04679660957376	5.67640195583982	6.96000193206808	7.10940878131338	5.96427421367515	7.02152243634632	5.7523163108914	6.91155331543592	5.26785267447047	5.6148230810401	7.57461390321448
HS3ST1	0.505109193031942	0.329896360229866	0	0	0.923368629585302	0.268572589375224	1.23171596629096	0.52760932974337	0	0.193893024136602	1.05177364972405	0.750111725165391	0.21890036430092
AOC1	0	0.971419750106385	0	0	3.05498201659315	3.30955680740414	0	1.26765103390416	0	0.569341520133287	0	0	0
WNT16	0	0	0	0	0	0	0.490965010711672	0	0	0.885724527789817	0	0	0
HECW1	0	0	0	0	0	0	0	0	0.020932941335728	0	0.473487213858716	0.0426443374084937	0.168444554887682
MAD1L1	2.59610946080493	3.43634637830132	3.59040855520091	3.12420086271233	1.0302002377757	2.74217208554825	1.99193168156757	2.0924156342214	1.69325104604636	1.743995449432	2.07855728802845	2.22698271059878	0
LASP1	5.06962946696859	5.46416556828381	3.80052163431896	3.96731051428933	4.49264204708603	2.88947354253111	5.63708183835738	3.54815204139482	3.07855728802845	3.65508757455176	1.83561318209912	3.79365582679954	2.89887807555713
SNX11	4.68041091941212	4.65563804923464	5.56674491398357	5.02996248595271	4.13674666701794	1.74747003060099	5.36800269788473	4.14774502710182	4.92621843457884	5.12542539271247	3.50935478503353	5.06129433273622	3.94622698760001
TMEM176A	0	1.73835213443717	3.14329293847021	0	5.37487897441226	1.02829712522493	4.91915669910599	1.45862429066945	4.23513789209152	6.33497799902013	4.83094174237522	4.92076967302065	3.9457229390168
M6PR	6.50819702648174	6.63443689205821	6.76430001211506	6.76239992773687	7.69273619620771	6.11871750553388	7.08953400395203	6.37232262935201	7.83830212487551	7.63114906639298	6.87521297338434	7.20982823766975	7.30475673058973
KLHL13	1.22935127957751	0.706232997614738	4.50457150323088	0	1.97000409398172	0.228404318571476	0.682918977244018	1.95348015497833	0	0.285060712163793	1.87834807753588	2.07960785792078	0.0714458603742735
CYP26B1	0.422233000683048	0.299560281858908	0	0	0	0	0.0856338334374561	0	0.0033254606523177	0.0970921214308701	0	0.915447355774965	0
ICA1	6.91308272636917	5.74932797682157	2.62706801644612	4.33364390847432	4.4331135331286	5.32624970083746	4.10665755679718	4.94388527134609	6.66862319766624	3.13598941302056	5.39848719001897	4.65499947910759	5.64330120033111
DBNDD1	4.15984029405516	2.14128186298737	4.21472261543097	2.81612705335577	3.30361216636599	4.17586234294723	1.78563102559458	1.13194399840803	2.07921398385702	0	3.29017484386043	2.6507645591169	0.404316268821164
ALS2	3.06853853220346	3.06350294230616	2.90822169984647	0.743498396872084	3.65455892117798	3.46331057825704	3.23224748707672	4.54349588342577	3.77618499057401	2.15977820660476	3.78087537095938	1.19946094546008	2.25712669778455
CASP10	0.900662485235317	0	0	0	0.811787168372865	0.639410284743533	1.352019650977	1.7126804282624	2.49687528133273	2.59876830024619	0	1.98409853043664	1.2224716881171
CFLAR	4.49864365136932	5.39582740668271	6.55129120754496	6.18624759574563	6.75202805190528	5.70973600034008	5.37037891939219	6.69510512771234	6.61959359578291	6.87801789063792	4.68686681101316	7.00427665587793	5.69958579977293
TFPI	0.440338937641704	0.339575960706787	7.27399279768429	5.04865872544521	6.18148486138638	4.6192324028059	3.7672473378339	3.62733745244296	3.20296014478232	0.431725807336996	3.02461973205103	2.06164328542658	4.79137330276973
NDUFAF7	3.96361639457713	3.92263700269154	5.73108922600192	4.14112462958948	3.860504459919	3.96929574465689	3.77998698705078	3.08118227972951	4.76128527336162	4.64296810415672	3.91948677232937	3.80521307105501	3.02884112788631
RBM5	6.00615990087098	6.3058162227995	4.44803686403719	5.59098426533764	5.13731434678777	4.95433949881842	5.34482849699744	5.41634608201991	6.83538968697384	6.43779367792528	6.80572899253858	6.07462728936208	7.09153303423793
MTMR7	0	0.269493556556763	0	0.838098445488712	0	1.14052698634633	0.13245029602365	0.7311832415722	2.48780293812332	0	0	1.62076684882881	1.35527654537145
SLC7A2	6.20961832132761	4.0791483277239	3.16708614302188	1.68395552024698	0.617153786482379	1.29640092965428	0	0	0	0	0	0.457412451000645	0.799087306074004
ARF5	6.47142510473236	6.77727302074234	6.75506217688562	6.43820326902496	6.72637013808992	7.03681607650243	5.85681335566734	6.995580185138	6.30189713215749	4.58088761151839	6.25743136224865	6.03201604808528	6.64528707733844
SARM1	0	2.31212895536196	0	1.32081790241943	2.99248956828794	0.331661125025932	0.13245029602365	0.490965010711672	0.952046776777073	0.662731358978152	2.16523169950733	0.408084738637077	0.207412353704872
POLDIP2	4.51853513898218	5.15822515131571	2.83405771559708	3.29130885982897	4.69650750193174	5.38410295550083	3.09942469274076	1.86088641831283	5.75792587972803	3.28004263739717	3.86782045066031	2.67486041766835	3.19867547646228
PLXND1	0	0.696678690901489	0	1.28460524411237	1.84491092668121	4.41564427462268	2.47098730846645	1.07250161969024	1.26025732116322	3.37728395660768	1.58237072143147	3.06456452810894	1.53068543973796
AK2	7.38144311875757	7.59419826028588	6.39247595198511	7.09408986968724	6.31293879145748	7.44044116581116	6.40398867990226	7.80958264067267	6.38297312401638	7.31469652565629	6.44600167408107	7.2554135761637	7.86451951205426
CD38	0	0.838098445488712	4.84576022939765	6.68619881183365	0.797811149386733	0	3.48413813120167	3.57917086291139	1.02475609908557	6.20961832132761	0.160523079717024	3.96461189614812	2.9188265503481
FKBP4	5.55291142273868	6.24158354215047	6.50330591950841	4.96966767141747	4.53294028837287	5.95097080777191	5.02397181255313	5.04830661754619	5.6686341063897	3.68740529482449	5.30721832703629	4.65873879963777	2.50823360148838
KDM1A	3.31201721814773	2.17078789421689	4.48948365208384	3.45882616501959	0.949175740922317	4.0391046415226	3.31642427098138	3.13422093976063	3.261067856542	3.32159512684167	3.8270372879193	4.9921932178293	3.21579804972668
RBM6	4.90670562284836	7.17039503382631	3.81455042346181	4.22484766862924	4.49773517639545	7.71804014829873	5.13045572077862	4.22157968563147	8.67570195428293	5.93527840218996	6.29947574646971	7.38566332584593	7.84876737121459
CAMKK1	2.35863429652247	0.394640773760323	1.51892243966662	0	0.609900402471058	0.49412016788152	0.279585582097642	0.37552069510231	0.00443224631526055	0.207412353704872	0	0	1.24301282041773
RECQL	2.94543483216794	4.87827261290707	4.73372977629864	5.48209120061931	6.16580374047859	4.98481717429359	5.66568575154808	5.11692771969755	6.02601688347591	5.80167602925359	4.56456577520263	4.82455246269046	5.11075834078944
CCDC132	4.98962811575341	3.901776621549	4.10852445677817	2.85828710483398	2.76700280634244	3.58796498888268	3.90496571868403	3.51008552254644	4.55513182618051	3.94931942849187	4.60059913176206	2.07960785792078	4.10601323762212
HSPB6	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGAP33	0.440338937641704	0	0	0	0	0.294140006074655	0	0.386174229268404	0.00553818354142996	0	0	0	0
NDUFAB1	7.73412075127322	7.39192102353437	7.14457196873587	6.90552586366377	7.62530983424901	8.36032375386814	6.52793407279164	6.92422781735164	6.9031402670051	6.94149460433351	7.83300195984147	7.22753078792506	7.18545489776685
PDK4	2.4278124341363	3.8169934659306	0	0	4.40279562767921	2.37155886261196	0.545208055495659	1.49392317258649	1.47986730182834	0.937634119039626	2.73352121298009	0	1.88061018280395
SLC22A16	1.45296030959397	0	0	0	0	0	0.36564947231668	0	0.101753498800733	2.40190347160796	1.51076721045181	0.190006974538814	0
ZMYND10	0	3.68688835422503	0	0	0.659924558402378	3.84926795268656	0	1.18854700304547	0	0	0	0	1.13497912233439
ABCB5	0	0	0	0	0	0	0	0	0	0	0	0	0.555061015007294
ARX	0	0	0	0	0.440338937641704	0	0	0	0	0	0	0	0
SLC25A13	3.93117390051989	3.51193506942618	2.84444745983322	3.19498409224188	4.0856665146331	2.97120749022406	3.80290901702641	4.07569717774656	4.11286049456144	2.53471290607684	4.29747362838595	2.49116241032078	3.52076069936454
ST7	4.60516607144434	4.48274901619941	4.6192324028059	2.66290660283393	5.74498904109723	3.052442648132	4.59254903561274	2.92775061647412	4.34214990437061	3.94557889278425	4.72624436370853	3.48651636382906	3.19534759832222
CDC27	3.95659284403674	5.11775896783275	6.957003789367	5.70614797064899	3.53212511158768	4.18939883262495	4.86626129408875	5.10536863056037	4.77594196942614	4.04634329881989	3.4023233784845	3.01517914093372	4.6226600905227
SLC4A1	0	0	0	0	0	0	0	0	0	0	0	0	0
CALCR	1.39696038917632	0	0	0	0	0	0	0	0	0	0	0	0
HCCS	4.27529363200269	4.3872883000314	4.89507886095428	5.26325114061087	5.19018936713573	4.89022217782417	4.17300439437428	4.89171828398427	3.26667123578428	5.02158222673253	4.06224129374225	5.95548449494272	2.10123631111249
DVL2	0.996944912622932	0.787561052692976	0	1.41642403954981	2.15579904175599	0.513685087211755	0.53605290024021	1.35310609958689	1.11257183046453	0.704871964456353	0	0.863938450423972	0.0437213774293178
PRSS22	0	1.97226847748113	0	0	0	0	0.666232197970668	0	0	0	0	0.281412935148648	0
UPF1	1.77480732914675	2.48344374089114	2.26280318617774	1.78434290493678	0.844910926681207	3.0172367049253	0.900662485235317	1.22603419311498	0.566346822553809	0.880911529027685	1.19655862419782	2.28949400616923	0.228404318571476
SKAP2	2.18879043425179	3.96858704736854	4.2013925876444	4.34537453804741	3.69200651094469	2.53049337489831	3.64908479634008	4.49569516262407	2.88775020565474	5.07104975135951	5.4133024479081	3.5837597536395	3.99193168156757
SLC25A5	10.2554008653302	10.2411352267345	10.5466036364306	10.7709490877779	11.0881149870159	9.78864179511433	11.4887702057354	10.7261703351184	10.1034774649437	10.5259145188101	10.8257195917807	10.0676929036222	10.1752434090622
CCDC109B	1.29142221241523	1.17288134477372	1.98353738883451	3.91500600716369	2.43849759081754	3.81360361782265	1.39696038917632	2.06972860196234	1.11257183046453	2.38829552804919	0.834991196730187	1.99095486039699	1.39674966909402
HOXA11	0	0	0	0	0	0.228404318571476	0	2.59766868507032	0	0	2.03128660457469	0.0934561644077858	2.81194521131994
POLR2J	6.60522306680399	7.13731434678777	4.80040216141584	5.45171834398694	6.39522102735413	6.88351742996296	5.91745011671297	5.67819111326929	5.6873406873783	5.35267161831847	6.71602005053547	5.8703647195834	5.07319404210257
DHX33	2.84776568689889	1.42843104132403	2.51892243966662	1.69821847822441	2.18024580712003	2.05431419496345	2.45093205811286	2.36651052578353	2.19849415363908	2.01668830805815	2.47278767688756	1.64793435705007	1.86561432003
MEOX1	0	0	0	0	0	0	0.13245029602365	0	0	0.854762915737204	0	0	2.29933484314591
THSD7A	1.04909454952817	1.40137841608632	0	0	0	0.108974726094806	0.121270496893582	0	0.398855486196683	0	1.97678661009422	1.0978700643135	0.666931347507437
LIG3	4.61126319268627	4.6800646379725	4.89373556938527	4.27895689453892	4.35787677744973	3.23106606372864	3.66413271415476	4.15137177625395	6.51403726469206	4.08912652973863	4.02421055359187	4.37386233252404	3.52818660019091
RPAP3	2.58237072143147	3.76001617816854	5.93344553256526	5.87136979789615	4.8581914525276	3.96745240708914	3.51008552254644	4.93048261481781	4.35581864699767	3.47668078470542	3.98990753182767	2.27213806703546	4.39566924534059
ACSM3	2.34198574722862	0	1.92190500458314	1.05498201659315	1.1865980732781	2.25967808839321	1.73718753017786	0	3.07855728802845	0	2.83623489942867	1.98409853043664	1.78047162790666
CIAPIN1	6.94149460433351	6.60701157667957	6.0820998996129	6.32115104987291	6.7735399349138	5.39041371231002	6.34577028861564	6.14125041767866	6.59833313611851	6.28787572777085	7.43225921174904	6.69658239960548	5.37522660855138
SPPL2B	1.61280613364647	2.16151564600378	1.81241923630888	2.07355660697008	0	1.79669358553002	0	1.46828253621956	0.914270125974116	1.27225293586317	0.172389041393793	1.03616515717316	0
FAM214B	0.620766848828811	2.61950330601595	0	2.30518483105279	2.27889972753712	2.90229625752602	2.19267975769483	1.70861172039747	2.08301693621915	1.67355642399014	1.90066248523532	1.79109274366323	2.83172136684212
COPZ2	1.6475801910876	2.30810095356186	0	0	2.37466500406839	0	2.58422246734207	0	3.27569475469056	1.21436395911069	1.10743036015869	1.98409853043664	2.69761986731003
PRKAR2B	1.54900562294475	2.15155911897135	0	2.60698880705116	1.1243281350022	3.93466165653548	2.39189459304511	2.8538421444853	2.0187437223407	2.86103917335992	3.9567715303027	3.84714891991856	3.30821299449236
MSL3	3.90466935569184	3.48473305700016	5.59126052462153	6.61559285651096	3.70941789678646	2.95118606577955	4.73864313866788	5.68637122833112	4.94957084730837	5.56179610031269	5.71310359285667	4.07283138609569	5.58100353440026
CREBBP	2.96162332828694	3.8829439713092	5.48587264617044	4.27153485559306	2.740595505529	4.16683902156857	3.86987140617771	3.65895845813496	2.80664132497961	1.85322797034197	3.10162421925937	3.3923702677831	4.07289733033251
BZRAP1	1.23643374368314	0.441973719732649	0	0	0	2.0924156342214	0.645098591928916	0.339575960706787	0	0.422233000683048	0	0	0.392951435111921
MPO	0	1.00664327363061	4.27560880921713	3.13598941302056	0	0	0	0	0	1.39717107848533	0	0.0608455552205269	0
PON1	1.1253459093237	0	0	2.66588249610472	0	0	0	0	0.0469476815116254	0	0	0	0
GCFC2	2.85996954822103	1.99638874644762	4.27932842484538	1.17804041299749	3.54216278778789	2.2916488908729	2.50510919303194	2.84220526874519	1.90836952453443	3.45498571360611	4.68492660340953	2.52780177889204	2.16646826000207
WDR54	4.43018232260553	5.71909917337269	4.12725230308331	4.61434742621695	6.7335942135713	5.40427696207818	4.48250081914048	4.91049283228871	5.47153765944501	5.18153073185491	3.56494091530509	5.26219605820952	2.34439151530672
CROT	2.25445450165594	4.60915031877331	5.3188313024835	2.32059576137027	2.61606810096202	2.86607103771678	2.49431713628116	4.33246007391988	3.87525078629904	2.91934008244201	2.51174049190334	2.06164328542658	6.12013816451468
ABCB4	1.18195878591278	0.519890236738463	0	2.81998253038535	3.11282842362499	0.0714458603742735	0.322815634159211	2.34034314766498	0.0263914988914009	0.410591594247652	0	0	0.998334390762591
KMT2E	7.40259887596747	6.57177014298347	6.47043674746306	7.46221595459776	6.43104430517706	6.13409453725117	5.76398350511809	8.21183215017787	6.46368784220126	5.32131759475516	6.45251687317428	6.60814960015139	6.87227945365898
RHBDD2	7.04626773317777	7.27517900503291	6.7452166428424	6.22468444517199	7.54314487503672	7.72944296098982	5.2027492266569	6.74320837044167	5.63822981987081	4.34739309484451	5.51487485875687	6.63998902776679	4.99102465527574
SOX8	0	0	0	0.95032484097581	0	0	0	0	0	0	0.539111078472553	1.21053273351404	0
IBTK	5.23010544437367	5.274290337081	2.32170612472908	3.51392797743252	5.75692063880766	4.4025332861003	4.45062757430135	4.09163474378778	4.34581122213425	4.10472373535457	4.8434234427931	4.09838845995002	4.63628997909763
ZNF195	5.56491747190628	5.41491611358002	4.10201202313453	5.24046111623325	4.69329394190724	5.24626190420618	5.37721720565381	5.64456626486763	4.90988385492209	5.08429326659819	5.92305773348909	4.45042454938673	5.26245628719617
MYCBP2	3.91371796865122	2.8851237803146	3.38032452334778	4.52784988716825	3.49697358099828	4.92942685550185	4.00954011409893	3.66614478045067	3.888799438458	4.81075946699339	3.9355322796693	4.43177722839953	2.97678661009422
FBXL3	3.71056274147626	3.96432753721532	3.96716860753263	3.32989636022987	3.65067619929198	4.27101761639826	3.98451924345276	4.08765866891495	3.5697621513742	3.49426789670229	3.55317143380608	1.40389694167364	3.60416258438565
ITGAL	2.02393770346512	1.54767761110974	2.74125953869917	5.13425253865763	1.77496947525997	1.70043971814109	1.64154602908752	4.52977290393588	2.53786947530224	5.05271016065657	1.97678661009422	5.56179610031269	2.30742852519225
PDK2	3.18592752014454	5.02352833149523	3.6449655285767	2.83000563655181	2.89768724177851	2.88775020565474	3.51601514700366	2.70026897489681	3.72817170032604	1.15754127698648	2.14980964014524	4.33864382774028	4.50322640134164
ITGA3	2.33760131887042	2.58440751127754	2.71191841906789	0	2.52462308047045	3.00691941393979	0.750441597132276	0	1.24675886612096	1.20308065558228	0	0.566346822553809	0.857521708752104
ZFX	5.34763840247243	5.61916466905435	6.03201604808528	6.28989120053512	5.72818216795002	4.56489402812652	4.3499531418388	5.58422246734207	5.22257571915779	5.34031575515459	4.43177722839953	5.10536863056037	4.15374298836015
LAMP2	7.24693422358011	8.14021233780069	7.89071793485596	7.36352828245123	8.87690649246624	8.65467182696821	9.63673754451442	8.47750609574258	8.23509737796819	8.49972018994444	8.96022030311241	8.21434154012992	7.98277862387817
GGNBP2	4.48125919295501	5.32779789434587	5.79870856486081	5.63822981987081	4.33061355630328	5.01747656302046	4.56456577520263	5.00529633220547	6.33743664332101	5.10704401022354	4.89533991135595	4.75595576955096	4.9718441762063
ITGA2B	0	0.670422021944193	0	0	0	3.34526534636971	0	0	1.87487261254634	0	0	0.190006974538814	0.0361651571731562
ASB4	0	0	0	0	0	0.677725061730539	1.66693134750744	0	1.42450870853998	0	0	0	0.825002787877029
GDE1	6.503923565239	5.55291142273868	5.71633670184837	4.64412250889203	6.06336189166066	6.27377408502317	4.90446557081391	4.68317818282176	3.86683191270984	4.4262647547021	5.84978760351835	4.78573161160169	3.41403142365438
C19orf60	3.47418641180131	2.7682250495385	0	2.33210197912895	1.65816753097672	2.48522864116253	1.79013041230511	2.33320352536929	1.92219784839637	2.74846123300404	2.5886569842789	3.59289397716537	3.43778087632948
CRLF1	0	0.74515457320009	2.81131293562629	0	0	3.03521784085131	0.490965010711672	0	0	0	0.488198576420295	0	1.52336894046493
OSBPL7	0.943993434265153	0.363925822122536	0	0	0.56484713942408	0.648642428249997	0	1.44768091298287	0.0861566437497145	1.21436395911069	0	0.356143810225275	0
TMEM98	0.609900402471058	7.47162519592876	0	0	4.59114542301537	1.78659636189081	6.17621535218796	5.84589529965269	7.9590478423628	5.05811664403911	5.76398350511809	5.97003950232004	6.98175607237049
YBX2	0	0	0	0	0	0.460641764136091	0	0	0	0	0.440338937641704	0.129409841703599	0
KRT33A	0	1.4085028505197	0	0	0	0	0	0	0	0	0	0	0
MAP3K14	3.04708195439933	4.18263118579148	2.75702324650746	3.22994281472085	2.99680589117827	1.76683976231889	1.41683974191283	2.44115656024273	1.90836952453443	1.65041108734228	0.42388841686111	2.889698173912	1.48522864116253
ABCC8	0	4.97442341495083	0	0	3.08883307702683	2.99916743575209	0	3.97134900028214	0	0	0	0	2.28551603646642
CCL18	0	0.623650797896891	0	4.06051303740476	2.08785447000202	0.478274923034351	2.84606894282971	2.49500631398466	0	7.97614328746252	1.28300997259903	3.18848613882537	3.17957229430357
CCL3	1.66238080739317	6.6891593577313	0	5.7034670529075	6.76660535424852	3.55317143380608	5.18208106374825	6.42635508161753	5.45009457295193	10.3242731683721	4.85147998228792	9.95869993308018	5.93554134589591
SYNRG	3.08091999538357	2.49490788018113	3.79677344023576	3.4904713934896	2.5524149078103	3.48264974249967	3.30955680740414	2.2604889491706	3.77147931142899	3.8486133111962	1.90066248523532	2.8016362379047	2.00457053484073
CACNG3	0	0	0	0	0	0	0	0	0	0.302262802238731	0	0	0
TMEM132A	1.28323797655698	0	0	0	2.11154500121058	4.19562016778905	0.860886418312826	0.627965940817475	0.735188875910998	0	2.51174049190334	1.32370262775671	0
AP2B1	4.8581914525276	5.84687900142932	5.46222854119837	5.22609349373118	4.52322416182249	4.05964813223778	5.10033078628687	4.71758152314005	5.82241639922564	5.33419419838483	4.54838919804403	4.08006724179375	2.78675718849383
TAC1	0	0	0	0	0	0.587918844052568	0.843674684068383	0	0.0714458603742735	0	0	0	0
ZNF263	3.73009646559547	3.3323223556727	2.85123009673038	2.25026197194792	3.45255488735134	3.33155089044778	2.47747807405475	1.2893805019765	3.11193014783113	1.22128222886851	2.7864355173574	1.71301896986689	3.4749850804486
CX3CL1	3.66413271415476	1.66343220671644	3.46808198085108	0.782731135088782	2.88670020921764	4.60839984489037	2.03913839390696	4.06933202110836	1.06959642045683	0.854762915737204	5.43865112618094	3.94435391877289	0.648642428249997
SPATA20	3.78434290493678	5.43006649465469	5.07619070490996	3.24798592096736	3.15174643736432	3.39585376522073	2.97325802877035	2.20296014478232	2.91294459320076	2.21627576332074	1.79461581022693	4.88932376884389	2.78248921422951
CACNA1G	0	0	0	0	0	0	0.36564947231668	0	0.0318294813603577	0	0	0	0
TNFRSF12A	6.57520758811907	7.31344819673345	6.51946690540219	4.42940996055438	7.2407619826954	4.84479507392681	2.90110824301451	4.42365573870658	1.70487196445635	0.77009714695149	3.32392429097308	6.01766499498067	3.71547102356696
DLX6	0	0	0	0	0	0.891718283984268	0	0	0	0.124328135002202	0	2.57717315261559	0
MAP3K9	2.13951986934844	0.86728824516371	2.32170612472908	2.20259855197182	1.43295940727611	1.16399407822453	1.72716645464081	1.52683927632723	1.47388679703282	0.108974726094806	0.991094446778108	1.42925543851269	0.594181030750535
RALA	5.14344993574338	3.8189606524702	5.18933800433187	4.42879177306088	4.4966540825935	4.25145691947487	3.60671554347597	4.33979519861328	3.65834333004364	3.98585069252246	4.73864313866788	4.99802187483699	3.18238671300278
BAIAP2L1	3.06615544358818	4.13788180327163	0	2.03967832469204	2.66605735763344	2.69607944061628	2.38532483563722	2.33320352536929	3.51193506942618	1.26742055302806	3.47543413733953	1.96062576166586	2.17951105027151
KDM7A	1.90659462780752	0.653589219913294	2.26880288629341	1.99861212587576	2.0924156342214	2.0345408052948	1.66150405559415	2.12788720827372	1.18611042918325	2.57726613073833	2.50510919303194	1.40095823404144	3.29640092965428
ETV1	0	0.971419750106385	0	0	1.70521234313928	0.120249842418122	2.43921394942677	2.63798469664247	1.93821339832502	2.34526534636971	0.42388841686111	2.28562984509196	3.99262900626619
AGK	5.05993094674846	4.7031688654026	4.2454137503521	4.42207770798551	4.09248068934917	4.3525086541026	5.07619070490996	4.19943074302032	5.15508287089057	4.65521970763248	5.68488345803478	4.32348093047761	5.85340073324849
ALDH3B1	0.839959587489532	1.03670620163511	2.36715597879895	1.11590398714377	1.34875538748118	0.979884638702924	0.712341807197384	0.398434568603358	0.310787537282162	1.83685634894975	0.391260115995718	0.0714458603742735	0.020932941335728
TTC22	0	0.724818153858122	0	0	0.52760932974337	1.09761079662642	1.51135125811145	1.28460524411237	3.21161129446206	0.704871964456353	1.57680118019098	0.782731135088782	0
PHTF2	4.3872883000314	3.66360736546623	3.76316639191042	4.93477051316408	5.16204266922142	3.53461714456601	3.59450261482008	4.4337555470061	3.9888594423948	4.61844197776471	4.1535559290353	4.73475130095392	3.44330061752554
CCL26	0	0	3.38877239072933	0	0	0	1.982695266985	0	0	0	0	0	0
FARP2	3.12420086271233	3.96731051428933	2.76283941700033	3.85207568862616	4.5324608284014	3.6977481619885	4.40905143853856	2.70368000625503	3.36036427654347	3.27483506946845	4.27047144043604	4.06496242148059	3.94701870831383
USH1C	0	0	0	0	0	0.979884638702924	0	0	0	0	0.965464636813806	0	0
